Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
26715602,0000029C,false,Tx,0,8,FE,00,00,00,00,00,00,00,
26787040,0000029C,false,Tx,0,8,FE,00,00,00,00,00,00,00,
26887675,0000029C,false,Tx,0,8,FE,00,00,00,00,00,00,00,
26988746,0000029C,false,Tx,0,8,00,00,00,00,00,00,00,00,
27090308,0000029C,false,Tx,0,8,00,00,00,00,00,00,00,00,
27190530,0000029C,false,Tx,0,8,00,00,00,00,00,00,00,00,
27291274,0000029C,false,Tx,0,8,00,00,00,00,00,00,00,00,
27392904,0000029C,false,Tx,0,8,00,00,00,00,00,00,00,00,
27494015,0000029C,false,Tx,0,8,00,00,00,00,00,00,00,00,
27595032,0000029C,false,Tx,0,8,00,00,00,00,00,00,00,00,
27696187,0000029C,false,Tx,0,8,00,00,00,00,00,00,00,00,
27797060,0000029C,false,Tx,0,8,00,00,00,00,00,00,00,00,
27897595,0000029C,false,Tx,0,8,00,00,00,00,00,00,00,00,
27998749,0000029C,false,Tx,0,8,00,00,00,00,00,00,00,00,
28099613,0000029C,false,Tx,0,8,00,00,00,00,00,00,00,00,
28201455,0000029C,false,Tx,0,8,00,00,00,00,00,00,00,00,
28302465,0000029C,false,Tx,0,8,00,00,00,00,00,00,00,00,
28402737,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
28504754,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
28604531,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
28705859,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
28807726,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
28908606,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
29009429,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
29110330,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
29210807,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
29312263,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
29413343,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
29514058,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
29615434,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
29716106,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
29817980,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
29919131,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
30019912,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
30121229,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
30221088,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
30322320,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
30423668,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
30524504,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
30625390,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
30726528,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
30828174,0000029C,false,Tx,0,8,00,08,00,00,00,00,00,00,
