Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1706525154801111,0000078C,false,Rx,0,8,04,7F,10,22,22,AA,AA,AA,
-1706525154800599,0000078C,false,Rx,0,8,04,7F,10,22,22,AA,AA,AA,
-1706525154800129,0000078C,false,Rx,0,8,04,7F,10,22,22,AA,AA,AA,
-1706525154799660,0000078C,false,Rx,0,8,04,7F,10,22,22,AA,AA,AA,
-1706525154799148,0000078C,false,Rx,0,8,04,7F,10,22,22,AA,AA,AA,
-1706525154745946,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
-1706525154744453,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
-1706525154739291,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
-1706525154734128,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
-1706525154728966,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
11793495,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525149437766,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
11899542,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525149326895,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
12006504,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525149225781,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
12116505,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525149115238,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
12227489,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525149004312,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
12333500,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525148893215,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
12454246,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525148772348,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
12552528,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525148681858,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
12661524,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525148571486,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
12770551,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525148460943,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
12879518,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525148350038,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
12988562,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525148239538,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
13101385,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525148128441,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
13237170,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525147997676,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
13321515,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525147907100,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
13425531,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525147806626,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
13537543,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525147696169,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
13646555,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525147585627,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
13765123,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525147464802,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
13862543,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525147364323,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
13971751,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525147253482,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
14081616,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525147152966,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
14190628,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525147042423,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
14299497,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
-1706525146931838,0000078C,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
14413567,00000784,false,Tx,0,8,02,10,01,00,00,00,00,00,
