Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
416485701,0000039F,false,Rx,0,8,43,64,00,B0,00,00,22,B5,
416485951,00000323,false,Rx,0,8,00,00,00,00,00,00,D8,97,
416486203,00000324,false,Rx,0,8,47,46,2C,49,48,00,00,00,
416486449,0000033B,false,Rx,0,8,00,00,00,4F,00,00,00,00,
416486695,0000033D,false,Rx,0,8,00,00,90,20,00,18,00,00,
416486943,000003A2,false,Rx,0,8,21,67,28,48,03,FF,00,DA,
416487194,000003A4,false,Rx,0,8,00,00,00,00,05,00,00,00,
416487441,000003B7,false,Rx,0,8,00,00,00,00,00,07,FD,41,
416487687,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
101658,0000039F,false,Rx,0,8,43,64,00,B0,00,00,23,B4,
101908,00000323,false,Rx,0,8,00,00,00,00,00,00,D8,97,
102161,00000324,false,Rx,0,8,47,46,2C,49,48,00,00,00,
102408,0000033B,false,Rx,0,8,00,00,00,4F,00,00,00,00,
102654,0000033D,false,Rx,0,8,00,00,90,20,00,18,00,00,
102900,000003A2,false,Rx,0,8,21,67,28,4C,03,FF,00,DE,
103155,000003A4,false,Rx,0,8,00,00,00,00,05,00,00,00,
103402,000003B7,false,Rx,0,8,00,00,00,00,00,08,5E,41,
103647,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
202013,0000039F,false,Rx,0,8,43,64,00,B0,00,00,24,B3,
202268,00000323,false,Rx,0,8,00,00,00,00,00,00,D8,97,
202514,00000324,false,Rx,0,8,47,46,2C,49,48,00,00,00,
202761,0000033B,false,Rx,0,8,00,00,00,4F,00,00,00,00,
203009,0000033D,false,Rx,0,8,00,00,90,20,00,18,00,00,
203261,000003A2,false,Rx,0,8,21,67,28,50,03,FF,00,C2,
203507,000003A4,false,Rx,0,8,00,00,00,00,05,00,00,00,
203753,000003B7,false,Rx,0,8,00,00,00,00,00,09,12,41,
204000,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
302812,0000039F,false,Rx,0,8,43,64,00,B0,00,00,25,B2,
303062,00000323,false,Rx,0,8,00,00,00,00,00,00,D8,97,
303308,00000324,false,Rx,0,8,47,46,2C,49,48,00,00,00,
303553,0000033B,false,Rx,0,8,00,00,00,4F,00,00,00,00,
303832,0000033D,false,Rx,0,8,00,00,90,20,00,18,00,00,
303841,000003A2,false,Rx,0,8,21,67,28,54,03,FF,00,C6,
304095,000003A4,false,Rx,0,8,00,00,00,00,05,00,00,00,
304341,000003B7,false,Rx,0,8,00,00,00,00,00,0A,C6,41,
304587,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
402920,0000039F,false,Rx,0,8,43,64,00,B0,00,00,26,B1,
403179,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
403223,00000324,false,Rx,0,8,47,46,2C,49,48,00,00,00,
403656,0000033B,false,Rx,0,8,00,00,00,4F,00,00,00,00,
