Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1709726746802417,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726746802204,00000324,false,Rx,0,8,00,00,00,41,41,00,00,40,
-1709726746801948,0000033B,false,Rx,0,8,00,00,00,41,00,00,00,00,
-1709726746801692,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
-1709726746801436,000003B7,false,Rx,0,8,00,00,00,00,00,00,0A,00,
-1709726746801180,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726746702242,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726746701986,00000324,false,Rx,0,8,00,00,00,41,41,00,00,00,
-1709726746701730,0000033B,false,Rx,0,8,00,00,00,41,00,00,00,00,
-1709726746701474,0000033D,false,Rx,0,8,00,00,10,20,00,28,00,00,
-1709726746701218,000003B7,false,Rx,0,8,00,00,00,00,00,01,46,00,
-1709726746700962,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726746602024,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726746601811,00000324,false,Rx,0,8,00,00,00,41,41,00,00,00,
-1709726746601555,0000033B,false,Rx,0,8,00,00,00,41,00,00,00,00,
-1709726746601299,0000033D,false,Rx,0,8,00,00,10,20,00,28,00,00,
-1709726746601043,000003B7,false,Rx,0,8,00,00,00,00,00,02,92,00,
-1709726746600787,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726746501636,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726746501380,00000324,false,Rx,0,8,00,00,00,41,41,00,00,00,
-1709726746501124,0000033B,false,Rx,0,8,00,00,00,41,00,00,00,00,
-1709726746500868,0000033D,false,Rx,0,8,00,00,10,20,00,28,00,00,
-1709726746500655,000003B7,false,Rx,0,8,00,00,00,00,00,03,DE,00,
-1709726746500399,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726746401333,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726746401077,00000324,false,Rx,0,8,00,00,00,41,41,00,00,00,
-1709726746400821,0000033B,false,Rx,0,8,00,00,00,41,00,00,00,00,
-1709726746400608,0000033D,false,Rx,0,8,00,00,10,20,00,28,00,00,
-1709726746400352,000003B7,false,Rx,0,8,00,00,00,00,00,04,27,00,
-1709726746400096,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726746301072,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726746300816,00000324,false,Rx,0,8,00,00,00,41,41,00,00,00,
-1709726746300560,0000033B,false,Rx,0,8,00,00,00,33,00,00,00,00,
-1709726746300304,0000033D,false,Rx,0,8,00,00,10,20,00,28,00,00,
-1709726746300091,000003B7,false,Rx,0,8,00,00,00,00,00,05,6B,00,
-1709726746299835,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726746200997,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
