Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1709726744457876,0000039F,false,Rx,0,8,33,00,00,00,00,00,00,33,
-1709726744457663,000003A2,false,Rx,0,8,20,00,00,40,03,FF,00,9C,
-1709726744457407,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726744357355,0000039F,false,Rx,0,8,33,00,00,00,00,00,21,12,
-1709726744357099,000003A2,false,Rx,0,8,20,00,00,84,03,FF,00,58,
-1709726744356843,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726744257260,0000039F,false,Rx,0,8,33,00,00,00,00,00,22,11,
-1709726744257004,000003A2,false,Rx,0,8,20,00,00,88,03,FF,00,54,
-1709726744256749,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726744156867,0000039F,false,Rx,0,8,33,00,00,00,00,00,23,10,
-1709726744156611,000003A2,false,Rx,0,8,20,00,00,8C,03,FF,00,50,
-1709726744156355,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726744056604,0000039F,false,Rx,0,8,33,00,00,00,00,00,24,17,
-1709726744056348,000003A2,false,Rx,0,8,20,00,00,90,03,FF,00,4C,
-1709726744056092,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726743956296,0000039F,false,Rx,0,8,33,00,00,00,00,00,25,16,
-1709726743956040,000003A2,false,Rx,0,8,20,00,00,94,03,FF,00,48,
-1709726743955784,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726743856287,0000039F,false,Rx,0,8,33,00,00,00,00,00,26,15,
-1709726743856031,000003A2,false,Rx,0,8,20,00,00,98,03,FF,00,44,
-1709726743855818,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726743755851,0000039F,false,Rx,0,8,33,00,00,00,00,00,27,14,
-1709726743755638,000003A2,false,Rx,0,8,20,00,00,9C,03,FF,00,40,
-1709726743755382,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726743655714,0000039F,false,Rx,0,8,33,00,00,00,00,00,28,1B,
-1709726743655458,000003A2,false,Rx,0,8,20,00,00,A0,03,FF,00,7C,
-1709726743655202,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726743555022,0000039F,false,Rx,0,8,33,00,00,00,00,00,29,1A,
-1709726743554766,000003A2,false,Rx,0,8,20,00,00,A4,03,FF,00,78,
-1709726743554510,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726743454800,0000039F,false,Rx,0,8,33,00,00,00,00,00,2A,19,
-1709726743454544,000003A2,false,Rx,0,8,20,00,00,A8,03,FF,00,74,
-1709726743454288,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726743354364,0000039F,false,Rx,0,8,33,00,00,00,00,00,2B,18,
-1709726743354108,000003A2,false,Rx,0,8,20,00,00,AC,03,FF,00,70,
-1709726743353895,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726743254057,0000039F,false,Rx,0,8,33,00,00,00,00,00,2C,1F,
-1709726743253843,000003A2,false,Rx,0,8,20,00,00,B0,03,FF,00,6C,
-1709726743253587,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726743153919,0000039F,false,Rx,0,8,33,00,00,00,00,00,2D,1E,
-1709726743153663,000003A2,false,Rx,0,8,20,00,00,B4,03,FF,00,68,
-1709726743153407,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726743053754,0000039F,false,Rx,0,8,33,00,00,00,00,00,2E,1D,
-1709726743053498,000003A2,false,Rx,0,8,20,00,00,B8,03,FF,00,64,
-1709726743053242,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726742953617,0000039F,false,Rx,0,8,33,00,00,00,00,00,2F,1C,
-1709726742953404,000003A2,false,Rx,0,8,20,00,00,BC,03,FF,00,60,
-1709726742953148,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726742853267,0000039F,false,Rx,0,8,33,00,00,00,00,00,20,13,
-1709726742853011,000003A2,false,Rx,0,8,20,00,00,80,03,FF,00,5C,
-1709726742852755,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726742753002,0000039F,false,Rx,0,8,33,00,00,00,00,00,21,12,
-1709726742752746,000003A2,false,Rx,0,8,20,00,00,84,03,FF,00,58,
-1709726742752490,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726742652651,0000039F,false,Rx,0,8,33,00,00,00,00,00,22,11,
-1709726742652395,000003A2,false,Rx,0,8,20,00,00,88,03,FF,00,54,
-1709726742652139,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726742552429,0000039F,false,Rx,0,8,33,00,00,00,00,00,23,10,
-1709726742552173,000003A2,false,Rx,0,8,20,00,00,8C,03,FF,00,50,
-1709726742551917,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726742452036,0000039F,false,Rx,0,8,33,00,00,00,00,00,24,17,
-1709726742451822,000003A2,false,Rx,0,8,20,00,00,90,03,FF,00,4C,
-1709726742451566,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726742431940,0000070E,false,Rx,0,7,2F,FF,1F,AD,00,AF,03,00,
-1709726742351600,0000039F,false,Rx,0,8,33,00,00,00,00,00,25,16,
-1709726742351344,000003A2,false,Rx,0,8,20,00,28,94,03,FF,00,60,
-1709726742351088,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726742251378,0000039F,false,Rx,0,8,33,00,00,00,00,00,26,15,
-1709726742251122,000003A2,false,Rx,0,8,20,00,28,98,03,FF,00,6C,
-1709726742250866,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726742151155,0000039F,false,Rx,0,8,33,00,00,00,00,00,27,14,
-1709726742150899,000003A2,false,Rx,0,8,20,00,28,9C,03,FF,00,68,
-1709726742150643,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726742050732,0000039F,false,Rx,0,8,33,00,00,00,00,00,28,1B,
-1709726742050476,000003A2,false,Rx,0,8,20,00,28,A0,03,FF,00,54,
-1709726742050220,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726741950467,0000039F,false,Rx,0,8,33,00,00,00,00,00,29,1A,
-1709726741950211,000003A2,false,Rx,0,8,20,00,28,A4,03,FF,00,50,
-1709726741949955,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726741850031,0000039F,false,Rx,0,8,33,00,00,00,00,00,2A,19,
-1709726741849818,000003A2,false,Rx,0,8,20,00,28,A8,03,FF,00,5C,
-1709726741849562,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1709726741749894,0000039F,false,Rx,0,8,33,00,00,00,00,00,2B,18,
-1709726741749638,000003A2,false,Rx,0,8,20,00,28,AC,03,FF,00,58,
-1709726741749382,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
