Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1759383941130621,0000019C,false,Rx,0,8,06,A0,26,A0,7F,FF,0B,7F,
-1759383941130371,000001A9,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383941130121,000001AF,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383941129877,000001B6,false,Rx,0,8,00,01,00,00,00,00,01,3A,
-1759383941129641,000001C7,false,Rx,0,8,0C,AF,33,51,00,00,00,00,
-1759383941129415,000001E1,false,Rx,0,7,40,C0,00,00,00,00,00,00,
-1759383941129183,000001E5,false,Rx,0,8,46,7F,62,D8,00,80,91,03,
-1759383941128935,000001E9,false,Rx,0,8,00,00,00,08,00,00,00,00,
-1759383941128691,000001F1,false,Rx,0,8,0E,00,00,00,08,74,00,00,
-1759383941128555,000001F2,false,Rx,0,2,20,00,00,00,00,00,00,00,
-1759383941128305,000001FD,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383941128067,00000227,false,Rx,0,8,75,30,00,10,8A,CF,80,00,
-1759383941127935,0000022A,false,Rx,0,2,00,70,00,00,00,00,00,00,
-1759383941127691,00000163,false,Rx,0,8,40,05,40,02,08,00,00,00,
-1759383941127437,00000230,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383941127189,00000242,false,Rx,0,8,00,00,00,00,00,08,00,00,
-1759383941126942,00000094,false,Rx,0,8,80,00,00,00,00,00,03,00,
-1759383941126690,00000244,false,Rx,0,8,00,00,20,04,00,00,00,00,
-1759383941126442,00000246,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383941126196,000002EF,false,Rx,0,8,FE,20,00,00,00,00,00,00,
-1759383948177950,0000030C,false,Rx,0,8,C8,30,00,00,00,00,00,01,
-1759383948177702,00000389,false,Rx,0,8,00,00,00,00,00,14,00,00,
-1759383948177460,0000038B,false,Rx,0,8,1B,00,01,00,00,3C,03,E8,
-1759383948177212,000003A3,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383948176968,0000009D,false,Rx,0,8,C0,0C,80,70,00,04,00,00,
-1759383948176022,000000C1,false,Rx,0,8,10,00,00,00,10,00,00,00,
-1759383948175776,000000C5,false,Rx,0,8,10,00,00,00,10,00,00,00,
-1759383948175540,000000AC,false,Rx,0,8,04,70,C8,A8,02,00,00,16,
-1759383948175298,000000AF,false,Rx,0,8,00,00,10,00,00,C1,F4,25,
-1759383948175126,000000C7,false,Rx,0,4,00,00,00,00,00,00,00,00,
-1759383948174874,000000F1,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383948174638,000000FB,false,Rx,0,8,11,FF,00,30,AB,CC,05,F5,
-1759383948174398,0000019C,false,Rx,0,8,06,A0,26,A0,7F,FF,0C,7F,
-1759383948174160,000001C7,false,Rx,0,8,0C,AF,73,50,00,02,00,00,
-1759383948173928,000001E5,false,Rx,0,8,46,7F,62,E7,FF,80,90,17,
-1759383948173682,000001FC,false,Rx,0,8,00,44,00,17,00,00,40,00,
-1759383948173472,00000214,false,Rx,0,6,02,00,00,00,00,00,00,00,
-1759383948173220,0000021C,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383948172970,0000023D,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383948172718,000002F4,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383948172472,000002F6,false,Rx,0,8,80,00,00,00,00,02,00,00,
-1759383948172224,000002FD,false,Rx,0,8,7D,00,00,00,00,00,00,00,
-1759383948171972,00000348,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383948171722,0000034A,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383948171476,0000046A,false,Rx,0,8,01,00,00,00,00,40,00,00,
-1759383948170912,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
-1759383948170680,000002A2,false,Rx,0,8,6C,6B,20,00,41,67,00,BB,
-1759383948170438,00000400,false,Rx,0,8,71,26,02,00,00,40,06,00,
-1759383948170188,00000418,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1759383948169944,00000419,false,Rx,0,8,00,00,00,90,00,00,03,79,
-1759383948169141,00000094,false,Rx,0,8,80,00,00,00,00,00,03,00,
-1759383948167069,0000009D,false,Rx,0,8,D0,0D,80,70,00,03,00,00,
-1759383948166001,000000C1,false,Rx,0,8,20,00,00,00,20,00,00,00,
-1759383948165753,000000C5,false,Rx,0,8,20,00,00,00,20,00,00,00,
-1759383948165517,000000AC,false,Rx,0,8,04,70,D8,A8,02,00,00,06,
-1759383948165279,000000AF,false,Rx,0,8,00,00,0C,00,00,D1,F3,2E,
-1759383948165107,000000C7,false,Rx,0,4,00,00,00,00,00,00,00,00,
-1759383948164855,000000F1,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383948164617,000000FB,false,Rx,0,8,11,FF,00,30,AB,DB,05,F4,
-1759383948164371,0000014F,false,Rx,0,8,FE,E8,00,00,00,00,00,00,
-1759383948164133,00000165,false,Rx,0,8,00,00,06,A0,E5,74,0C,00,
-1759383948163885,00000166,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383948163637,00000167,false,Rx,0,8,0C,10,00,00,00,00,00,00,
-1759383948163441,00000169,false,Rx,0,6,3B,19,60,F7,74,40,00,00,
-1759383948163273,00000185,false,Rx,0,4,00,03,00,02,00,00,00,00,
-1759383948163029,00000194,false,Rx,0,8,0F,0F,00,01,00,00,00,00,
-1759383948162797,00000196,false,Rx,0,8,75,30,75,30,10,00,75,30,
-1759383948162557,0000019C,false,Rx,0,8,06,A0,26,A0,7F,FE,0D,7F,
-1759383948162307,000001A9,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383948162057,000001AF,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383948161815,000001B6,false,Rx,0,8,00,01,00,00,00,00,02,1D,
-1759383948161579,000001C7,false,Rx,0,8,0C,AF,B3,4F,00,04,00,00,
-1759383948161347,000001E5,false,Rx,0,8,46,7F,62,F8,00,80,8F,22,
-1759383948161099,000001E9,false,Rx,0,8,00,00,00,08,00,00,00,00,
-1759383948160855,000001F1,false,Rx,0,8,0E,00,00,00,08,74,00,00,
-1759383948160719,000001F2,false,Rx,0,2,20,00,00,00,00,00,00,00,
-1759383948160469,000001FD,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383948160233,00000227,false,Rx,0,8,75,30,00,20,8A,CF,00,00,
-1759383948160101,0000022A,false,Rx,0,2,00,70,00,00,00,00,00,00,
