Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1759383947071396,0000029B,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383947070210,00000163,false,Rx,0,8,41,05,40,02,08,00,00,00,
-1759383947067464,000000AC,false,Rx,0,8,04,70,48,A8,02,00,00,96,
-1759383947067222,000000AF,false,Rx,0,8,00,00,30,00,00,41,FC,8D,
-1759383947067049,000000C7,false,Rx,0,4,00,00,00,00,00,00,00,00,
-1759383947066813,000000FB,false,Rx,0,8,11,FF,00,30,AB,44,05,FD,
-1759383947066575,0000019C,false,Rx,0,8,06,A0,26,A0,7F,FE,04,7F,
-1759383947065525,0000009D,false,Rx,0,8,70,07,80,70,00,09,00,00,
-1759383947065279,00000094,false,Rx,0,8,80,00,00,00,00,00,03,00,
-1759383947064541,000002E7,false,Rx,0,8,08,00,00,00,00,00,0C,04,
-1759383947062929,000000C1,false,Rx,0,8,30,00,00,00,30,00,00,00,
-1759383947062683,000000C5,false,Rx,0,8,30,00,00,00,30,00,00,00,
-1759383947062431,000000F1,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383947062191,00000165,false,Rx,0,8,00,00,06,A0,E5,7F,01,00,
-1759383947061943,00000166,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383947061695,00000167,false,Rx,0,8,0C,10,00,00,00,00,00,00,
-1759383947061499,00000169,false,Rx,0,6,3B,19,60,F7,74,40,00,00,
-1759383947061331,00000185,false,Rx,0,4,00,03,00,03,00,00,00,00,
-1759383947061081,000001A9,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383947060839,000001B6,false,Rx,0,8,00,01,00,00,00,00,07,74,
-1759383947060601,000001C7,false,Rx,0,8,0C,AF,F3,4E,00,16,00,00,
-1759383947060369,000001E5,false,Rx,0,8,46,7F,62,88,00,80,96,E1,
-1759383947060121,000001E9,false,Rx,0,8,00,00,00,08,00,00,00,00,
-1759383947059877,000001F1,false,Rx,0,8,0E,00,00,00,08,75,00,00,
-1759383947059741,000001F2,false,Rx,0,2,20,00,00,00,00,00,00,00,
-1759383947059491,000001FD,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383947059257,00000227,false,Rx,0,8,75,30,00,60,8A,CD,00,00,
-1759383947059125,0000022A,false,Rx,0,2,00,70,00,00,00,00,00,00,
-1759383947058871,00000230,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383947058623,00000242,false,Rx,0,8,00,00,00,00,00,08,00,00,
-1759383947058371,00000244,false,Rx,0,8,00,00,20,04,00,00,00,00,
-1759383947058123,00000246,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1759383947057137,000000AC,false,Rx,0,8,04,70,58,A8,02,00,00,86,
-1759383947056899,000000AF,false,Rx,0,8,00,00,2C,00,00,51,FB,86,
-1759383947056727,000000C7,false,Rx,0,4,00,00,00,00,00,00,00,00,
-1759383947056491,000000FB,false,Rx,0,8,11,FF,00,30,AB,53,05,FC,
-1759383947056247,0000014F,false,Rx,0,8,FE,28,00,00,00,00,00,00,
-1759383947071260,00000402,false,Rx,1,8,00,00,00,00,00,05,00,00,
-1759383947071004,00000468,false,Rx,1,8,28,00,30,00,28,00,30,00,
-1759383947070791,00000469,false,Rx,1,8,28,00,30,00,28,00,30,00,
-1759383947070535,0000046B,false,Rx,1,8,0B,A4,00,F8,05,81,01,47,
-1759383947070321,0000046C,false,Rx,1,8,06,B3,00,00,00,00,00,AB,
-1759383947070065,0000046D,false,Rx,1,8,42,1B,42,1B,00,11,01,02,
-1759383947069809,0000046F,false,Rx,1,8,00,00,00,00,00,20,00,00,
-1759383947069553,00000692,false,Rx,1,8,28,00,00,00,00,00,00,00,
-1759383947067207,00000088,false,Rx,1,8,00,00,08,00,00,00,00,00,
-1759383947066951,0000008A,false,Rx,1,8,7F,FF,00,04,00,02,32,B4,
-1759383947066737,0000008E,false,Rx,1,8,5D,05,04,00,13,88,02,C5,
-1759383947066482,0000008F,false,Rx,1,8,00,00,00,00,00,00,00,00,
-1759383947066226,000000DF,false,Rx,1,8,00,00,00,00,00,00,08,00,
-1759383947065970,000000FB,false,Rx,1,8,00,00,00,00,00,00,00,00,
-1759383947065756,00000172,false,Rx,1,8,60,21,0A,60,21,0A,00,00,
-1759383947065500,000003BA,false,Rx,1,8,03,0B,65,46,00,00,00,00,
-1759383947065244,000003C2,false,Rx,1,8,7F,FF,FD,7F,00,12,05,32,
-1759383947065031,00000094,false,Rx,1,8,7F,FF,1C,00,7F,FF,03,1F,
-1759383947064775,00000099,false,Rx,1,8,A0,83,80,04,00,5D,00,FA,
-1759383947064519,0000014B,false,Rx,1,8,01,90,00,00,00,00,00,00,
-1759383947061618,00000171,false,Rx,1,8,00,30,0D,B0,60,43,7A,D4,
-1759383947061362,000003AB,false,Rx,1,8,00,01,14,2D,73,4C,00,00,
-1759383947061234,0000041F,false,Rx,1,3,02,70,01,00,00,00,00,00,
-1759383947056839,00000088,false,Rx,1,8,00,00,08,00,00,00,00,00,
-1759383947056583,0000008A,false,Rx,1,8,7F,FF,00,04,00,02,33,B5,
-1759383947056370,0000008E,false,Rx,1,8,5D,05,04,00,13,88,03,C4,
-1759383947056114,0000008F,false,Rx,1,8,00,00,00,00,00,00,00,00,
-1759383947055858,000000DF,false,Rx,1,8,00,00,00,00,00,00,08,00,
