Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5887724,00000323,false,Rx,0,8,00,00,00,00,00,00,1D,65,
5887980,00000324,false,Rx,0,8,00,02,A3,44,44,00,00,00,
5888223,0000033B,false,Rx,0,8,00,00,00,46,00,00,00,00,
5888469,0000033D,false,Rx,0,8,00,00,10,20,00,28,00,00,
5888711,000003B7,false,Rx,0,8,00,00,00,00,00,08,50,00,
5888983,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
5955044,00000323,false,Rx,0,8,00,00,00,00,00,00,1D,65,
5955291,00000324,false,Rx,0,8,00,02,A3,44,44,00,00,00,
5955533,0000033B,false,Rx,0,8,00,00,00,46,00,00,00,00,
5955779,0000033D,false,Rx,0,8,00,00,10,20,00,28,00,00,
5956030,000003B7,false,Rx,0,8,00,00,00,00,00,09,1C,00,
5956274,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
5965010,00000323,false,Rx,0,8,00,00,00,00,00,00,1D,65,
5965256,00000324,false,Rx,0,8,00,02,A3,44,44,00,00,00,
5965498,0000033B,false,Rx,0,8,00,00,00,46,00,00,00,00,
5965742,0000033D,false,Rx,0,8,00,00,10,20,00,28,00,00,
5965996,000003B7,false,Rx,0,8,00,00,00,00,00,09,1C,00,
5966240,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
6065230,00000323,false,Rx,0,8,00,00,00,00,00,00,1D,65,
6065477,00000324,false,Rx,0,8,00,02,A3,44,44,00,00,00,
6065778,0000033B,false,Rx,0,8,00,00,00,46,00,00,00,00,
6065788,0000033D,false,Rx,0,8,00,00,10,20,00,28,00,00,
6066057,000003B7,false,Rx,0,8,00,00,00,00,00,0A,C8,00,
6066300,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
6165621,00000323,false,Rx,0,8,00,00,00,00,00,00,1F,C5,
6165871,00000324,false,Rx,0,8,00,02,A3,44,44,00,00,00,
6166121,0000033B,false,Rx,0,8,00,00,00,46,00,00,00,00,
6166366,0000033D,false,Rx,0,8,00,00,10,20,00,28,00,00,
6166609,000003B7,false,Rx,0,8,00,00,00,00,00,0B,84,00,
6166855,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
6265710,00000323,false,Rx,0,8,00,00,00,00,00,00,1F,C5,
6265956,00000324,false,Rx,0,8,00,02,A3,44,44,00,00,00,
6266208,0000033B,false,Rx,0,8,00,00,00,46,00,00,00,00,
