Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
41603716,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
41603963,00000324,false,Rx,0,8,00,00,00,41,41,00,00,40,
41604207,0000033B,false,Rx,0,8,00,00,00,41,00,00,00,00,
41604453,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
41604704,000003B7,false,Rx,0,8,00,00,00,00,00,00,0A,00,
41604948,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
41704253,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
41704502,00000324,false,Rx,0,8,00,00,00,41,41,00,00,00,
41704753,0000033B,false,Rx,0,8,00,00,00,41,00,00,00,00,
41704997,0000033D,false,Rx,0,8,00,00,10,20,00,28,00,00,
41705241,000003B7,false,Rx,0,8,00,00,00,00,00,01,46,00,
41705486,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
41804347,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
41804602,00000324,false,Rx,0,8,00,00,00,41,41,00,00,00,
41804845,0000033B,false,Rx,0,8,00,00,00,41,00,00,00,00,
41805089,0000033D,false,Rx,0,8,00,00,10,20,00,28,00,00,
41805333,000003B7,false,Rx,0,8,00,00,00,00,00,02,92,00,
41805588,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
41904650,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
41906414,00000324,false,Rx,0,8,00,00,00,41,41,00,00,00,
41906430,0000033B,false,Rx,0,8,00,00,00,41,00,00,00,00,
41906436,0000033D,false,Rx,0,8,00,00,10,20,00,28,00,00,
41906442,000003B7,false,Rx,0,8,00,00,00,00,00,03,DE,00,
41906448,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
42004920,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
42005168,00000324,false,Rx,0,8,00,00,00,41,41,00,00,00,
42006896,0000033B,false,Rx,0,8,00,00,00,41,00,00,00,00,
42006912,0000033D,false,Rx,0,8,00,00,10,20,00,28,00,00,
42006918,000003B7,false,Rx,0,8,00,00,00,00,00,04,27,00,
