Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
218358693,0000039F,false,Rx,0,8,3E,00,00,00,00,00,21,1F,
218358937,000003A2,false,Rx,0,8,20,00,28,84,03,FF,00,70,
218359180,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
130352,0000039F,false,Rx,0,8,3E,00,00,00,00,00,22,1C,
130606,000003A2,false,Rx,0,8,20,00,28,88,03,FF,00,7C,
130850,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
230592,0000039F,false,Rx,0,8,3E,00,00,00,00,00,23,1D,
230838,000003A2,false,Rx,0,8,20,00,28,8C,03,FF,00,78,
231083,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
330762,0000039F,false,Rx,0,8,3E,00,00,00,00,00,24,1A,
331009,000003A2,false,Rx,0,8,20,00,28,90,03,FF,00,64,
331252,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
431337,0000039F,false,Rx,0,8,3E,00,00,00,00,00,25,1B,
431595,000003A2,false,Rx,0,8,20,00,28,94,03,FF,00,60,
431838,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
531683,0000039F,false,Rx,0,8,3E,00,00,00,00,00,26,18,
531927,000003A2,false,Rx,0,8,20,00,28,98,03,FF,00,6C,
532172,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
631682,0000039F,false,Rx,0,8,3E,00,00,00,00,00,27,19,
631928,000003A2,false,Rx,0,8,20,00,28,9C,03,FF,00,68,
632172,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
731929,0000039F,false,Rx,0,8,3E,00,00,00,00,00,28,16,
732176,000003A2,false,Rx,0,8,20,00,28,A0,03,FF,00,54,
732422,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
832487,0000039F,false,Rx,0,8,3E,00,00,00,00,00,29,17,
832745,000003A2,false,Rx,0,8,20,00,28,A4,03,FF,00,50,
832988,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
932626,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2A,14,
932873,000003A2,false,Rx,0,8,20,00,28,A8,03,FF,00,5C,
933118,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
1032775,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2B,15,
1033019,000003A2,false,Rx,0,8,20,00,28,AC,03,FF,00,58,
1033263,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
1133472,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2C,12,
1133727,000003A2,false,Rx,0,8,20,00,28,B0,03,FF,00,44,
1133970,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
1233655,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2D,13,
1233902,000003A2,false,Rx,0,8,20,00,28,B4,03,FF,00,40,
1234146,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
1333926,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2E,10,
1334171,000003A2,false,Rx,0,8,20,00,28,B8,03,FF,00,4C,
1334416,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
1433990,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2F,11,
1434238,000003A2,false,Rx,0,8,20,00,28,BC,03,FF,00,48,
1434484,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
1534617,0000039F,false,Rx,0,8,3E,00,00,00,00,00,20,1E,
1534863,000003A2,false,Rx,0,8,20,00,28,80,03,FF,00,74,
1535106,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
1634750,0000039F,false,Rx,0,8,3E,00,00,00,00,00,21,1F,
1634996,000003A2,false,Rx,0,8,20,00,28,84,03,FF,00,70,
1635240,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
1735420,0000039F,false,Rx,0,8,3E,00,00,00,00,00,22,1C,
1735674,000003A2,false,Rx,0,8,20,00,28,88,03,FF,00,7C,
1735918,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
1835352,0000039F,false,Rx,0,8,3E,00,00,00,00,00,23,1D,
1835605,000003A2,false,Rx,0,8,20,00,28,8C,03,FF,00,78,
1835850,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
1935617,0000039F,false,Rx,0,8,3E,00,00,00,00,00,24,1A,
1935864,000003A2,false,Rx,0,8,20,00,28,90,03,FF,00,64,
1936108,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
2036132,0000039F,false,Rx,0,8,3E,00,00,00,00,00,25,1B,
2036375,000003A2,false,Rx,0,8,20,00,28,94,03,FF,00,60,
2036624,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
2136430,0000039F,false,Rx,0,8,3E,00,00,00,00,00,26,18,
2136681,000003A2,false,Rx,0,8,20,00,28,98,03,FF,00,6C,
2136925,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
2236669,0000039F,false,Rx,0,8,3E,00,00,00,00,00,27,19,
2236923,000003A2,false,Rx,0,8,20,00,28,9C,03,FF,00,68,
2237166,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
2337521,0000039F,false,Rx,0,8,3E,00,00,00,00,00,28,16,
2337545,000003A2,false,Rx,0,8,20,00,28,A0,03,FF,00,54,
2337551,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
2437495,0000039F,false,Rx,0,8,3E,00,00,00,00,00,29,17,
2437741,000003A2,false,Rx,0,8,20,00,28,A4,03,FF,00,50,
2437993,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
2537588,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2A,14,
2537833,000003A2,false,Rx,0,8,20,00,28,A8,03,FF,00,5C,
2538077,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
2637626,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2B,15,
2637872,000003A2,false,Rx,0,8,20,00,28,AC,03,FF,00,58,
2638117,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
2738265,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2C,12,
2738515,000003A2,false,Rx,0,8,20,00,28,B0,03,FF,00,44,
2738767,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
2838279,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2D,13,
2838527,000003A2,false,Rx,0,8,20,00,28,B4,03,FF,00,40,
2838777,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
2938626,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2E,10,
2938873,000003A2,false,Rx,0,8,20,00,28,B8,03,FF,00,4C,
2939117,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
3039117,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2F,11,
3039362,000003A2,false,Rx,0,8,20,00,28,BC,03,FF,00,48,
3039615,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
3139362,0000039F,false,Rx,0,8,3E,00,00,00,00,00,20,1E,
3139620,000003A2,false,Rx,0,8,20,00,28,80,03,FF,00,74,
3139864,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
3239665,0000039F,false,Rx,0,8,3E,00,00,00,00,00,21,1F,
3239911,000003A2,false,Rx,0,8,20,00,28,84,03,FF,00,70,
3240155,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
3340116,0000039F,false,Rx,0,8,3E,00,00,00,00,00,22,1C,
3340361,000003A2,false,Rx,0,8,20,00,28,88,03,FF,00,7C,
3340612,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
3440329,0000039F,false,Rx,0,8,3E,00,00,00,00,00,23,1D,
3440587,000003A2,false,Rx,0,8,20,00,28,8C,03,FF,00,78,
3440830,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
3540450,0000039F,false,Rx,0,8,3E,00,00,00,00,00,24,1A,
3540700,000003A2,false,Rx,0,8,20,00,28,90,03,FF,00,64,
3540945,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
3640949,0000039F,false,Rx,0,8,3E,00,00,00,00,00,25,1B,
3641217,000003A2,false,Rx,0,8,20,00,28,94,03,FF,00,60,
3641479,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
3741219,0000039F,false,Rx,0,8,3E,00,00,00,00,00,26,18,
3741466,000003A2,false,Rx,0,8,20,00,28,98,03,FF,00,6C,
3741714,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
3841588,0000039F,false,Rx,0,8,3E,00,00,00,00,00,27,19,
3841835,000003A2,false,Rx,0,8,20,00,28,9C,03,FF,00,68,
3842078,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
3941862,0000039F,false,Rx,0,8,3E,00,00,00,00,00,28,16,
3942110,000003A2,false,Rx,0,8,20,00,28,A0,03,FF,00,54,
3942354,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
4042153,0000039F,false,Rx,0,8,3E,00,00,00,00,00,29,17,
4042399,000003A2,false,Rx,0,8,20,00,28,A4,03,FF,00,50,
4042660,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
4142382,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2A,14,
4142636,000003A2,false,Rx,0,8,20,00,28,A8,03,FF,00,5C,
4142880,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
4242669,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2B,15,
4242915,000003A2,false,Rx,0,8,20,00,28,AC,03,FF,00,58,
4243158,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
4343045,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2C,12,
4343292,000003A2,false,Rx,0,8,20,00,28,B0,03,FF,00,44,
4343544,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
4443551,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2D,13,
4443799,000003A2,false,Rx,0,8,20,00,28,B4,03,FF,00,40,
4444042,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
4543755,0000039F,false,Rx,0,8,3E,00,00,00,00,00,2E,10,
4543997,000003A2,false,Rx,0,8,20,00,28,B8,03,FF,00,4C,
