Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
36501675,000001FD,false,Tx,0,8,00,00,00,00,00,00,00,00,
36501693,00000214,false,Tx,0,6,02,00,00,00,00,00,00,00,
36501708,00000227,false,Tx,0,8,00,00,00,30,FF,FE,80,00,
36501724,00000172,false,Tx,0,8,85,62,9D,85,62,9D,00,00,
36501740,0000022A,false,Tx,0,2,00,70,00,00,00,00,00,00,
36501755,00000094,false,Tx,0,8,80,00,1B,FF,80,00,03,E7,
36502901,00000099,false,Tx,0,8,A0,83,80,04,00,5D,00,FA,
36502916,00000230,false,Tx,0,8,00,00,00,00,00,00,00,00,
36502931,0000014B,false,Tx,0,8,01,8B,00,00,00,00,00,00,
36502947,00000244,false,Tx,0,8,00,00,20,04,00,00,00,00,
36504093,0000034A,false,Tx,0,8,00,00,00,00,00,00,00,00,
36507501,000000C5,false,Tx,0,8,20,00,00,00,20,00,00,00,
36507518,00000171,false,Tx,0,8,00,30,11,B0,87,42,AC,F8,
36507533,0000044C,false,Tx,0,1,01,00,00,00,00,00,00,00,
36508697,000000AF,false,Tx,0,8,00,00,00,00,00,00,00,00,
36508718,000000AC,false,Tx,0,8,04,70,78,A8,02,00,00,A6,
36508732,00000088,false,Tx,0,8,00,00,78,00,00,00,00,78,
36508743,0000008A,false,Tx,0,8,80,00,00,04,00,02,37,B1,
36508755,000000C7,false,Tx,0,4,00,00,00,00,00,00,00,00,
36509900,000000FB,false,Tx,0,8,11,FF,00,30,AB,44,05,FD,
36509918,0000008E,false,Tx,0,8,5D,05,04,00,13,88,07,C0,
36509935,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,07,7F,
36509951,0000008F,false,Tx,0,8,00,00,00,00,00,00,00,00,
36509967,0000014F,false,Tx,0,8,02,48,00,00,00,00,00,00,
36509983,0000009B,false,Tx,0,8,00,00,00,00,1C,00,00,1C,
36509997,000001AF,false,Tx,0,8,00,00,00,00,00,00,00,00,
36510013,000000DF,false,Tx,0,8,00,00,00,00,00,00,08,00,
36510028,00000194,false,Tx,0,8,0F,0F,00,01,00,00,00,00,
36511174,0000009D,false,Tx,0,8,B0,0B,80,70,00,05,00,00,
36511192,00000196,false,Tx,0,8,75,30,75,30,20,00,75,2B,
36512338,00000173,false,Tx,0,8,00,00,C7,C8,0C,D9,0C,D8,
36513488,00000391,false,Tx,0,8,10,01,A0,00,B0,00,48,00,
36516903,00000185,false,Tx,0,4,00,00,00,0E,00,00,00,00,
36516930,0000022A,false,Tx,0,8,01,43,43,05,43,43,42,00,
36518077,000001E9,false,Tx,0,8,00,00,00,08,0F,F7,00,00,
36519229,0000008A,false,Tx,0,8,7F,FF,00,04,00,02,38,BE,
36519245,000000AF,false,Tx,0,8,00,00,18,00,00,A1,F6,00,
36519261,0000008E,false,Tx,0,8,5D,05,04,00,13,88,08,CF,
36520410,00000167,false,Tx,0,8,0C,10,00,00,00,00,00,00,
36520427,000000AF,false,Tx,0,8,00,00,00,00,00,00,00,00,
36520444,00000196,false,Tx,0,8,00,00,00,00,00,00,00,00,
36520458,000001F1,false,Tx,0,8,0E,00,00,00,00,00,00,00,
36520472,000001F2,false,Tx,0,2,20,00,00,00,00,00,00,00,
36520504,0000009D,false,Tx,0,8,C0,0C,80,70,00,04,00,00,
36521652,000001F1,false,Tx,0,8,0E,00,00,00,08,74,00,00,
36521667,000001F2,false,Tx,0,2,20,00,00,00,00,00,00,00,
36521679,000001FD,false,Tx,0,8,00,00,00,00,00,00,00,00,
36521693,0000022A,false,Tx,0,2,00,70,00,00,00,00,00,00,
36521706,00000230,false,Tx,0,8,00,00,00,00,00,00,00,00,
36521716,00000299,false,Tx,0,8,62,B7,D0,FF,FF,71,00,00,
36521730,00000242,false,Tx,0,8,00,00,00,00,00,08,00,00,
36521742,00000094,false,Tx,0,8,7F,FF,2B,FF,7F,FF,03,D7,
36522899,00000094,false,Tx,0,8,80,00,00,00,00,00,03,00,
36522913,00000244,false,Tx,0,8,00,00,20,04,00,00,00,00,
36522927,000003AC,false,Tx,0,8,00,5D,02,22,4B,FF,18,00,
36525225,000003C2,false,Tx,0,8,7F,FF,F9,E6,00,12,05,20,
36527509,00000171,false,Tx,0,8,00,30,15,B0,87,42,AC,FC,
36528666,000000AC,false,Tx,0,8,04,70,98,A8,02,00,00,46,
36528684,0000008E,false,Tx,0,8,5D,05,04,00,13,88,09,CE,
36529826,00000166,false,Tx,0,8,00,00,00,00,00,00,00,00,
36529841,0000009B,false,Tx,0,8,00,00,00,00,24,00,00,24,
36529856,000000DF,false,Tx,0,8,00,00,00,00,00,00,08,00,
36530999,00000196,false,Tx,0,8,75,30,75,30,20,00,75,2B,
36531015,0000019F,false,Tx,0,8,00,00,00,00,00,00,00,00,
36532167,0000029C,false,Tx,0,8,28,00,00,00,00,00,00,00,
36532182,00000173,false,Tx,0,8,00,00,C7,C8,0C,D9,0C,D8,
36533327,000002A2,false,Tx,0,8,86,00,20,C8,00,84,00,AC,
36534476,000003A6,false,Tx,0,8,00,00,00,00,00,00,00,00,
36534493,000003C2,false,Tx,0,8,7F,FF,F9,E7,00,12,05,20,
36536781,0000046B,false,Tx,0,8,0B,BC,00,F9,05,72,01,48,
36536817,000000C1,false,Tx,0,8,90,01,85,46,10,00,00,00,
36536830,00000185,false,Tx,0,4,00,00,00,10,00,00,00,00,
930,000001E9,false,Tx,0,8,00,00,00,08,0F,F6,00,00,
949,00000227,false,Tx,0,8,00,00,00,50,FF,FD,80,00,
965,00000088,false,Tx,0,8,00,00,A8,00,00,00,00,A8,
2116,0000008D,false,Tx,0,8,00,00,00,00,00,A0,00,A0,
3271,000000AF,false,Tx,0,8,00,00,00,00,00,00,00,00,
3290,00000167,false,Tx,0,8,0C,10,00,00,00,00,00,00,
3313,00000196,false,Tx,0,8,00,00,00,00,00,00,00,00,
4467,000001E5,false,Tx,0,8,46,80,00,98,00,7F,F7,D6,
4499,000001FD,false,Tx,0,8,00,00,00,00,00,00,00,00,
4530,00000358,false,Tx,0,8,00,00,00,00,00,00,00,00,
4545,00000204,false,Tx,0,8,08,00,00,00,00,00,00,00,
5696,0000021C,false,Tx,0,8,00,00,00,00,00,00,00,00,
5713,00000099,false,Tx,0,8,A0,87,80,04,00,5D,00,FE,
5729,0000014B,false,Tx,0,8,01,8B,00,00,00,00,00,00,
5745,000003BE,false,Tx,0,8,00,42,08,F1,1D,35,00,00,
6917,00000541,false,Tx,0,8,18,03,0B,0D,02,0C,00,00,
