Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
22677869,000002F6,false,Tx,0,8,80,00,00,00,00,01,00,00,
22677885,000002FD,false,Tx,0,8,FA,00,00,00,00,00,00,00,
22677901,00000094,false,Tx,0,8,80,00,00,00,00,00,03,00,
22677917,0000014B,false,Tx,0,8,01,8B,00,00,00,00,00,00,
22682534,000000C5,false,Tx,0,8,30,00,00,00,30,00,00,00,
22682593,0000029B,false,Tx,0,8,3B,CA,86,02,FD,06,00,00,
22683778,000001E9,false,Tx,0,8,00,00,00,08,0F,F8,00,00,
22683836,0000008A,false,Tx,0,8,80,00,00,04,00,02,38,BE,
22685003,0000008F,false,Tx,0,8,00,00,00,00,00,00,00,00,
22685060,00000166,false,Tx,0,8,00,00,00,00,00,00,00,00,
22685077,00000167,false,Tx,0,8,0C,10,00,00,00,00,00,00,
22686238,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,08,7F,
22686274,000001E5,false,Tx,0,8,46,80,00,78,00,7F,F9,38,
22686296,000002B5,false,Tx,0,8,00,82,34,00,00,00,00,B6,
22686313,000001F1,false,Tx,0,8,0E,00,00,00,08,74,00,00,
22687494,000001FC,false,Tx,0,8,00,00,00,B5,00,00,C0,00,
22687550,00000214,false,Tx,0,6,06,00,00,00,00,00,00,00,
22687567,00000172,false,Tx,0,8,85,62,9D,85,62,9D,00,00,
22687604,00000227,false,Tx,0,8,00,00,00,C0,FF,FA,00,00,
22687623,00000094,false,Tx,0,8,80,00,2B,FF,80,00,03,D7,
22687640,00000094,false,Tx,0,8,80,00,00,00,00,00,03,00,
22688804,0000022A,false,Tx,0,2,00,70,00,00,00,00,00,00,
22688853,00000232,false,Tx,0,8,00,00,00,00,00,00,00,00,
22688872,00000242,false,Tx,0,8,00,00,00,00,00,08,00,00,
22690034,0000029B,false,Tx,0,8,80,00,00,00,00,00,00,00,
22692336,000000C1,false,Tx,0,8,80,01,85,46,00,00,00,00,
22693493,000003C2,false,Tx,0,8,7F,FF,F9,CD,00,12,05,20,
22693513,0000044C,false,Tx,0,1,01,00,00,00,00,00,00,00,
22694665,000001E5,false,Tx,0,8,46,80,00,88,00,7F,F8,C9,
22694685,000000AF,false,Tx,0,8,00,00,00,00,00,00,00,00,
22694733,000000AC,false,Tx,0,8,04,70,98,A8,02,00,00,46,
22694748,00000088,false,Tx,0,8,00,00,98,00,00,00,00,98,
22694766,0000008A,false,Tx,0,8,80,00,00,04,00,02,39,BF,
22694783,000000C7,false,Tx,0,4,00,00,00,00,00,00,00,00,
22694799,000000FB,false,Tx,0,8,11,FF,00,30,AB,DB,05,F4,
22694817,0000008E,false,Tx,0,8,5D,05,04,00,13,88,09,CE,
22694835,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,09,7F,
911,0000008F,false,Tx,0,8,00,00,00,00,00,00,00,00,
930,0000009D,false,Tx,0,8,D0,0D,80,70,00,03,00,00,
946,0000009B,false,Tx,0,8,00,00,00,00,24,00,00,24,
962,0000014F,false,Tx,0,8,02,D8,00,00,00,00,00,00,
978,000000DF,false,Tx,0,8,00,00,00,00,00,00,08,00,
994,000001AF,false,Tx,0,8,00,00,00,00,00,00,00,00,
1010,0000019F,false,Tx,0,8,00,00,00,00,00,00,00,00,
2157,00000173,false,Tx,0,8,00,00,C7,C8,0C,DA,0C,D8,
3308,00000099,false,Tx,0,8,A0,86,80,04,00,5D,00,FF,
7889,000000C5,false,Tx,0,8,10,00,00,00,10,00,00,00,
7965,00000185,false,Tx,0,4,00,00,00,0E,00,00,00,00,
7985,000001E9,false,Tx,0,8,00,00,00,08,0F,F8,00,00,
9159,000000C7,false,Tx,0,4,00,00,00,00,00,00,00,00,
9224,0000008A,false,Tx,0,8,80,00,00,04,00,02,3A,BC,
9254,0000008D,false,Tx,0,8,00,00,00,00,00,A0,00,A0,
10423,00000167,false,Tx,0,8,0C,10,00,00,00,00,00,00,
10475,0000009B,false,Tx,0,8,00,00,00,00,28,00,00,28,
10493,000000DF,false,Tx,0,8,00,00,00,00,00,00,08,00,
11654,000001F1,false,Tx,0,8,0E,00,00,00,00,00,00,00,
11684,000001F2,false,Tx,0,2,20,00,00,00,00,00,00,00,
11709,000001F2,false,Tx,0,2,20,00,00,00,00,00,00,00,
11724,000001FD,false,Tx,0,8,00,00,00,00,00,00,00,00,
11745,00000227,false,Tx,0,8,00,00,00,D0,FF,F9,80,00,
11761,0000022A,false,Tx,0,2,00,70,00,00,00,00,00,00,
11776,00000230,false,Tx,0,8,00,00,00,00,00,00,00,00,
12955,00000232,false,Tx,0,8,00,00,00,00,00,00,00,00,
13014,00000299,false,Tx,0,8,62,B7,D0,FF,FF,71,00,00,
13030,00000242,false,Tx,0,8,00,00,00,00,00,08,00,00,
13044,00000094,false,Tx,0,8,7F,FF,3B,FF,80,00,03,C7,
13061,00000094,false,Tx,0,8,80,00,00,00,00,00,03,00,
13077,00000099,false,Tx,0,8,A0,87,80,04,00,5D,00,FE,
14247,000002EF,false,Tx,0,8,F1,F0,00,00,00,00,00,00,
14304,00000334,false,Tx,0,8,00,00,00,00,00,00,08,00,
17745,00000293,false,Tx,0,8,8C,00,B3,26,21,40,00,00,
18897,000000F1,false,Tx,0,8,00,00,00,00,00,00,00,00,
18914,000000C7,false,Tx,0,4,00,00,00,00,00,00,00,00,
20062,0000008E,false,Tx,0,8,5D,05,04,00,13,88,0B,CC,
20084,0000008F,false,Tx,0,8,00,00,00,00,00,00,00,00,
20102,0000009D,false,Tx,0,8,F0,0F,80,70,00,01,00,00,
21253,000000DF,false,Tx,0,8,00,00,00,00,00,00,08,00,
21272,00000196,false,Tx,0,8,75,30,75,30,20,00,75,2B,
21288,000001E1,false,Tx,0,7,40,BD,03,00,00,00,00,00,
22437,000001E5,false,Tx,0,8,46,80,00,A8,00,7F,F6,E7,
22453,00000173,false,Tx,0,8,00,00,C7,C8,0C,DA,0C,D8,
22468,00000094,false,Tx,0,8,80,00,00,00,00,00,03,00,
22497,0000039B,false,Tx,0,8,00,00,00,00,00,00,00,00,
23645,0000029C,false,Tx,0,8,28,00,00,00,00,00,00,00,
24794,000002E7,false,Tx,0,8,08,00,00,00,00,00,0B,03,
25942,000003E2,false,Tx,0,8,1E,B6,17,A2,63,4D,63,5B,
25959,00000468,false,Tx,0,8,28,00,30,00,28,00,30,00,
27114,000000C1,false,Tx,0,8,B0,01,85,46,30,00,00,00,
28264,000001C7,false,Tx,0,8,00,00,FF,FD,00,16,00,00,
28279,00000322,false,Tx,0,8,00,00,00,00,00,00,00,00,
