Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1156,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,02,7F,
10293,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,03,7F,
29790,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,05,7F,
40155,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,06,7F,
55097,0000033F,false,Tx,0,8,00,00,00,00,28,00,00,48,
58579,00000297,false,Tx,0,8,01,03,E0,00,C3,0B,AB,81,
62044,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,08,7F,
7994418,0000039F,false,Rx,0,8,4D,63,00,00,00,96,0D,B5,
7994667,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
7994710,00000324,false,Rx,0,8,70,46,09,54,54,00,00,7B,
7994951,0000033B,false,Rx,0,8,80,00,00,59,00,00,00,00,
7995198,0000033D,false,Rx,0,8,02,6E,60,20,00,18,00,40,
7995446,000003A2,false,Rx,0,8,21,66,00,74,03,FF,00,CF,
7995701,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
7995946,000003B7,false,Rx,0,8,00,00,00,00,00,0C,73,41,
7996191,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
81552,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,0A,7F,
101134,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,0C,7F,
106981,00000297,false,Tx,0,8,01,03,E0,00,C3,0B,AC,86,
110484,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,0D,7F,
130025,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,0F,7F,
150736,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,01,7F,
107561,0000039F,false,Rx,0,8,4D,63,00,00,00,96,0E,B6,
107809,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
108056,00000324,false,Rx,0,8,70,46,09,54,54,00,00,7B,
108303,0000033B,false,Rx,0,8,80,00,00,59,00,00,00,00,
108591,0000033D,false,Rx,0,8,02,6E,60,20,00,18,00,40,
108600,000003A2,false,Rx,0,8,21,66,00,78,03,FF,00,C3,
108841,000003A4,false,Rx,0,8,00,00,00,00,00,00,00,00,
109087,000003B7,false,Rx,0,8,00,00,00,00,00,0D,3F,41,
109531,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
154270,0000033F,false,Tx,0,8,00,00,00,00,28,00,00,48,
181655,0000019C,false,Tx,0,8,06,A0,26,A0,7F,FE,04,7F,
200924,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,06,7F,
210005,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,07,7F,
212293,00000297,false,Tx,0,8,00,03,00,00,00,00,20,00,
221348,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,08,7F,
207952,0000039F,false,Rx,0,8,4D,63,00,00,00,96,0F,B7,
208202,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
208454,00000324,false,Rx,0,8,70,46,09,54,54,00,00,7B,
208700,0000033B,false,Rx,0,8,80,00,00,59,00,00,00,00,
