Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2236989,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,0B,7F,
2274174,00000297,false,Tx,0,8,01,03,E0,00,C3,0C,A6,8B,
2280035,00000297,false,Tx,0,8,00,03,00,00,00,00,20,00,
2297419,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,01,7F,
2327477,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,04,7F,
2397399,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,0B,7F,
2424038,00000297,false,Tx,0,8,01,03,E0,00,C3,0C,A9,84,
2437983,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,0F,7F,
2448340,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,00,7F,
2488886,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,04,7F,
2497021,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,05,7F,
2521429,0000033F,false,Tx,0,8,00,00,00,00,28,00,00,46,
2537680,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,09,7F,
2548175,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,0A,7F,
2558589,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,0B,7F,
2569137,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,0C,7F,
2587509,0000019C,false,Tx,0,8,06,A0,26,A0,7F,FF,0E,7F,
2596821,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,0F,7F,
2631056,00000297,false,Tx,0,8,00,03,00,00,00,00,20,00,
2674636,00000297,false,Tx,0,8,01,03,E0,00,C3,0C,AE,83,
2677000,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,07,7F,
2688550,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,08,7F,
2697832,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,09,7F,
2748692,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,0E,7F,
2797381,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,03,7F,
2818209,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,05,7F,
2825123,00000297,false,Tx,0,8,01,03,E0,00,C3,0C,A1,8C,
2837710,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,07,7F,
2857205,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,09,7F,
2877702,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,0B,7F,
2889122,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,0C,7F,
2898381,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FF,0D,7F,
2907632,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,0E,7F,
2931980,00000297,false,Tx,0,8,00,03,00,00,00,00,20,00,
2967924,0000019C,false,Tx,0,8,06,A0,26,9F,7F,FE,04,7F,
2980648,00000297,false,Tx,0,8,00,03,00,00,00,00,20,00,
