Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11390139,0000039F,false,Rx,0,8,4A,71,00,00,04,89,0B,BD,
11390389,00000323,false,Rx,0,8,00,00,00,00,00,00,D8,97,
11390634,00000324,false,Rx,0,8,70,44,D9,54,4E,00,00,7B,
11390881,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
11391133,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
11391379,000003A2,false,Rx,0,8,21,60,10,6C,03,FF,00,C1,
11391625,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
11391872,000003B7,false,Rx,0,8,00,00,00,00,00,00,04,41,
11392125,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
11439305,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
11439552,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
11439796,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
11440052,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
11440297,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
11490009,0000039F,false,Rx,0,8,4A,71,00,00,04,89,0C,BA,
11490258,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
11490503,00000324,false,Rx,0,8,70,44,E2,54,4E,00,00,7B,
11490749,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
11491003,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
11491250,000003A2,false,Rx,0,8,21,60,10,70,03,FF,00,DD,
11491495,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
11491742,000003B7,false,Rx,0,8,00,00,00,00,00,01,48,41,
11491997,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
11539303,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
11539551,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
11539796,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
11540051,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
11540296,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
11590700,0000039F,false,Rx,0,8,4A,71,00,00,04,89,0D,BB,
11590950,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
11591203,00000324,false,Rx,0,8,70,44,F2,54,4E,00,00,7B,
11591449,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
11591694,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
11591942,000003A2,false,Rx,0,8,21,61,10,74,03,FF,00,D8,
11592195,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
11592442,000003B7,false,Rx,0,8,00,00,00,00,00,02,9C,41,
11592688,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
11639376,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
11639623,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
11639872,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
11640124,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
11640370,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
11691020,0000039F,false,Rx,0,8,4A,71,00,00,04,89,0E,B8,
11691266,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
11691512,00000324,false,Rx,0,8,70,44,F2,54,4E,00,00,7B,
11691758,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
11692012,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
11692257,000003A2,false,Rx,0,8,21,61,10,78,03,FF,00,D4,
11692504,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
11692749,000003B7,false,Rx,0,8,00,00,00,00,00,03,D0,41,
11693007,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
11739332,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
11739580,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
11739827,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
11740080,000002A6,false,Rx,0,8,00,00,00,00,00,00,00,00,
11740326,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
11791146,0000039F,false,Rx,0,8,4A,71,00,00,04,89,0F,B9,
11791393,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
11791639,00000324,false,Rx,0,8,70,44,E2,54,4E,00,00,7B,
11791887,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
11792139,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
11792384,000003A2,false,Rx,0,8,21,60,10,7C,03,FF,00,D1,
11792630,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
11792880,000003B7,false,Rx,0,8,00,00,00,00,00,04,29,41,
11793128,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
11839235,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
11839483,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
11839729,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
11839987,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
11840232,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
11891528,0000039F,false,Rx,0,8,4A,71,00,00,04,89,00,B6,
11891775,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
11892066,00000324,false,Rx,0,8,70,44,D9,54,4E,00,00,7B,
11892076,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
11892316,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
11892563,000003A2,false,Rx,0,8,21,60,10,40,03,FF,00,ED,
11892808,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
11893066,000003B7,false,Rx,0,8,00,00,00,00,00,05,65,41,
11893311,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
11939217,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
11939465,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
11939711,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
11939958,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
11940212,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
11991789,0000039F,false,Rx,0,8,4A,71,00,00,04,89,01,B7,
11992047,00000323,false,Rx,0,8,00,00,00,00,00,00,C1,51,
11992293,00000324,false,Rx,0,8,70,44,D3,54,4E,00,00,7B,
11992539,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
11992785,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
11993042,000003A2,false,Rx,0,8,21,60,10,44,03,FF,00,E9,
11993288,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
11993534,000003B7,false,Rx,0,8,00,00,00,00,00,06,B1,41,
11993780,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
12039262,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
12039511,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
12039757,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
12040012,000002A6,false,Rx,0,8,00,00,00,00,00,00,00,00,
12040258,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
12092154,0000039F,false,Rx,0,8,4A,71,00,00,04,89,02,B4,
12092404,00000323,false,Rx,0,8,00,00,00,00,00,00,C1,51,
12092649,00000324,false,Rx,0,8,70,44,E2,54,4E,00,00,7B,
12092898,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
12093149,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
12093395,000003A2,false,Rx,0,8,21,60,10,48,03,FF,00,E5,
12093641,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
12093889,000003B7,false,Rx,0,8,00,00,00,00,00,07,FD,41,
12094142,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
12139375,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
12139623,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
12139872,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
12140124,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
12140371,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
12192492,0000039F,false,Rx,0,8,4A,71,00,00,04,89,03,B5,
12192741,00000323,false,Rx,0,8,00,00,00,00,00,00,C1,51,
12192994,00000324,false,Rx,0,8,70,44,D9,54,4E,00,00,7B,
12193241,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
12193486,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
12193733,000003A2,false,Rx,0,8,21,60,10,4C,03,FF,00,E1,
12193987,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
12194233,000003B7,false,Rx,0,8,00,00,00,00,00,08,5E,41,
12194478,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
12239242,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
12239489,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
12239735,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
12239992,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
12240238,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
12292482,0000039F,false,Rx,0,8,4A,71,00,00,04,89,04,B2,
12292731,00000323,false,Rx,0,8,00,00,00,00,00,00,C1,51,
12292986,00000324,false,Rx,0,8,70,44,DD,54,4E,00,00,7B,
12293232,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
12293478,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
12293724,000003A2,false,Rx,0,8,21,60,10,50,03,FF,00,FD,
12293978,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
12294225,000003B7,false,Rx,0,8,00,00,00,00,00,09,12,41,
12294470,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
12339256,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
12339504,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
12339750,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
12340004,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
12340251,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
12393009,0000039F,false,Rx,0,8,4A,71,00,00,04,89,05,B3,
12393257,00000323,false,Rx,0,8,00,00,00,00,00,00,C1,51,
12393503,00000324,false,Rx,0,8,70,44,C4,54,4E,00,00,7B,
12393748,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
12394002,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
12394248,000003A2,false,Rx,0,8,21,60,10,54,03,FF,00,F9,
12394493,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
12394737,000003B7,false,Rx,0,8,00,00,00,00,00,0A,C6,41,
12394993,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
12439246,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
12439493,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
12439740,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
12439995,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
12440269,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
12493412,0000039F,false,Rx,0,8,4A,71,00,00,04,89,06,B0,
12493660,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
12493907,00000324,false,Rx,0,8,70,44,D3,54,4E,00,00,7B,
12494159,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
12494406,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
12494450,000003A2,false,Rx,0,8,21,60,10,58,03,FF,00,F5,
12494885,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
12495137,000003B7,false,Rx,0,8,00,00,00,00,00,0B,8A,41,
12495382,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
12539324,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
12539573,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
12539819,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
12540072,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
12540317,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
12593725,0000039F,false,Rx,0,8,4A,71,00,00,04,89,07,B1,
12595516,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
12595528,00000324,false,Rx,0,8,70,44,D9,54,4E,00,00,7B,
12595534,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
12595540,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
12595546,000003A2,false,Rx,0,8,21,60,10,5C,03,FF,00,F1,
12595552,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
12595558,000003B7,false,Rx,0,8,00,00,00,00,00,0C,73,41,
12595564,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
12639216,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
12639464,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
12639710,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
12639957,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
12640210,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
12694054,0000039F,false,Rx,0,8,4A,71,00,00,04,89,08,BE,
12694336,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
12694345,00000324,false,Rx,0,8,70,44,D9,54,4E,00,00,7B,
12696095,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
12696111,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
12696117,000003A2,false,Rx,0,8,21,60,10,60,03,FF,00,CD,
12696123,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
12696129,000003B7,false,Rx,0,8,00,00,00,00,00,0D,3F,41,
12696135,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
12739340,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
12739589,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
12739835,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
12740088,000002A6,false,Rx,0,8,00,00,00,00,00,00,00,00,
12740332,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
12794253,0000039F,false,Rx,0,8,4A,71,00,00,04,89,09,BF,
12794502,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
12794748,00000324,false,Rx,0,8,70,44,DD,54,4E,00,00,7B,
12796439,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
12796455,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
12796462,000003A2,false,Rx,0,8,21,60,10,64,03,FF,00,C9,
12796468,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
12796474,000003B7,false,Rx,0,8,00,00,00,00,00,0E,EB,41,
12796480,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
12839367,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
12839615,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
12839866,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
12840116,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
12840362,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
12894683,0000039F,false,Rx,0,8,4A,71,00,00,04,89,0A,BC,
12894933,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
12895186,00000324,false,Rx,0,8,70,44,CE,54,4E,00,00,7B,
12895431,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
12897156,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
12897172,000003A2,false,Rx,0,8,21,60,10,68,03,FF,00,C5,
12897178,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
12897184,000003B7,false,Rx,0,8,00,00,00,00,00,00,04,41,
12897190,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
12939272,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
12939520,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
12939767,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
12940022,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
12940269,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
12995060,0000039F,false,Rx,0,8,4A,71,00,00,04,89,0B,BD,
12995310,00000323,false,Rx,0,8,00,00,00,00,00,00,D8,97,
12995555,00000324,false,Rx,0,8,70,44,D9,54,4E,00,00,7B,
12995801,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
12996056,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
12997844,000003A2,false,Rx,0,8,21,60,10,6C,03,FF,00,C1,
12997860,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
12997866,000003B7,false,Rx,0,8,00,00,00,00,00,01,48,41,
12997872,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
13039381,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
13039630,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
13039879,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
13040133,000002A6,false,Rx,0,8,00,00,00,00,00,00,00,00,
13040377,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
13094798,0000039F,false,Rx,0,8,4A,71,00,00,04,89,0C,BA,
13095057,00000323,false,Rx,0,8,00,00,00,00,00,00,D8,97,
13095304,00000324,false,Rx,0,8,70,44,D9,54,4E,00,00,7B,
13095549,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
13095795,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
13096044,000003A2,false,Rx,0,8,21,60,10,70,03,FF,00,DD,
13096290,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
13096535,000003B7,false,Rx,0,8,00,00,00,00,00,02,9C,41,
13096782,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
13139389,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
13139636,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
13139884,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
13140135,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
13140382,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
13195207,0000039F,false,Rx,0,8,4A,71,00,00,04,89,0D,BB,
13195455,00000323,false,Rx,0,8,00,00,00,00,00,00,D8,97,
13195701,00000324,false,Rx,0,8,70,44,E2,54,4E,00,00,7B,
13195950,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
13196202,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
13196449,000003A2,false,Rx,0,8,21,60,10,74,03,FF,00,D9,
13196695,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
13196945,000003B7,false,Rx,0,8,00,00,00,00,00,03,D0,41,
13197195,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
13239228,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
13239477,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
13239723,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
13239978,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
13240225,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
13295856,0000039F,false,Rx,0,8,4A,71,00,00,04,89,0E,B8,
13296111,00000323,false,Rx,0,8,00,00,00,00,00,00,D8,97,
13296356,00000324,false,Rx,0,8,70,44,DD,54,4E,00,00,7B,
13296602,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
13296850,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
13297097,000003A2,false,Rx,0,8,21,60,10,78,03,FF,00,D5,
13297344,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
13297589,000003B7,false,Rx,0,8,00,00,00,00,00,04,29,41,
13299124,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
13339319,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
13339568,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
13339814,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
13340067,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
13340313,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
13396343,0000039F,false,Rx,0,8,4A,71,00,00,04,89,0F,B9,
13396592,00000323,false,Rx,0,8,00,00,00,00,00,00,D8,97,
13396840,00000324,false,Rx,0,8,70,44,DD,54,4E,00,00,7B,
13397092,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
13397137,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
13397379,000003A2,false,Rx,0,8,21,60,10,7C,03,FF,00,D1,
13397624,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
13397871,000003B7,false,Rx,0,8,00,00,00,00,00,05,65,41,
13398125,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
13439260,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
13439508,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
13439755,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
13440009,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
13440255,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
13496589,0000039F,false,Rx,0,8,4A,71,00,00,04,89,00,B6,
13496840,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
13497087,00000324,false,Rx,0,8,70,44,D3,54,4E,00,00,7B,
13497333,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
13497579,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
13497826,000003A2,false,Rx,0,8,21,60,10,40,03,FF,00,ED,
13498078,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
13498324,000003B7,false,Rx,0,8,00,00,00,00,00,06,B1,41,
13498570,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
13539282,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
13539531,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
13539777,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
13540034,000002A6,false,Rx,0,8,00,00,00,00,00,00,00,00,
13540278,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
13596376,0000039F,false,Rx,0,8,4A,71,00,00,04,89,01,B7,
13596625,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
13596872,00000324,false,Rx,0,8,70,44,D9,54,4E,00,00,7B,
13597125,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
13597371,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
13597617,000003A2,false,Rx,0,8,21,60,10,44,03,FF,00,E9,
13597864,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
13598118,000003B7,false,Rx,0,8,00,00,00,00,00,07,FD,41,
13598364,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
13639273,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
13639521,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
13639768,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
13640022,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
13640269,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
13696991,0000039F,false,Rx,0,8,4A,71,00,00,04,89,02,B4,
13697239,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
13697486,00000324,false,Rx,0,8,70,44,E2,54,4E,00,00,7B,
13697731,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
13697988,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
13698233,000003A2,false,Rx,0,8,21,60,10,48,03,FF,00,E5,
13698480,000003A4,false,Rx,0,8,00,00,07,00,01,00,00,00,
13698724,000003B7,false,Rx,0,8,00,00,00,00,00,08,5E,41,
13698978,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
13739280,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
13739528,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
13741228,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
13741244,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
13741250,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
13797376,0000039F,false,Rx,0,8,4A,71,00,00,04,89,03,B5,
13797625,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
13797872,00000324,false,Rx,0,8,70,44,E2,54,4E,00,00,7B,
13798126,0000033B,false,Rx,0,8,00,00,00,5C,00,00,00,00,
13798370,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
