Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
89928871,0000039F,false,Rx,0,8,49,71,00,00,04,89,0A,BF,
89929127,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
89929374,00000324,false,Rx,0,8,70,44,DD,54,4F,00,00,7B,
89929619,0000033B,false,Rx,0,8,00,00,00,5B,00,00,00,00,
89929871,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
89930124,000003A2,false,Rx,0,8,21,60,10,68,03,FF,00,C5,
89930371,000003A4,false,Rx,0,8,00,00,07,00,02,00,00,00,
89930632,000003B7,false,Rx,0,8,00,00,00,00,00,03,CD,40,
89930901,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
89938671,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
89938918,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
89939172,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
89939418,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
89939665,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
90029463,0000039F,false,Rx,0,8,49,71,00,00,04,89,0B,BE,
90029710,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
90029959,00000324,false,Rx,0,8,70,44,DD,54,4F,00,00,7B,
90030212,0000033B,false,Rx,0,8,00,00,00,5B,00,00,00,00,
90030458,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
90030705,000003A2,false,Rx,0,8,21,60,10,6C,03,FF,00,C1,
90030953,000003A4,false,Rx,0,8,00,00,07,00,02,00,00,00,
90031204,000003B7,false,Rx,0,8,00,00,00,00,00,04,34,40,
90031450,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
90038636,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
90038883,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
90039137,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
90039382,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
90039629,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
225765,0000039F,false,Rx,0,8,4A,71,00,00,04,89,0C,BA,
226026,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
226272,00000324,false,Rx,0,8,70,44,D9,54,4F,00,00,7B,
226518,0000033B,false,Rx,0,8,00,00,00,5B,00,00,00,00,
226765,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
227021,000003A2,false,Rx,0,8,21,60,10,70,03,FF,00,DD,
227268,000003A4,false,Rx,0,8,00,00,07,00,02,00,00,00,
227514,000003B7,false,Rx,0,8,00,00,00,00,00,05,78,40,
227760,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
234750,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
235005,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
235251,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
235497,000002A6,false,Rx,0,8,00,00,00,00,00,00,00,00,
235744,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
325914,0000039F,false,Rx,0,8,4A,71,00,00,04,89,0D,BB,
326170,00000323,false,Rx,0,8,00,00,00,00,00,00,C1,51,
326416,00000324,false,Rx,0,8,70,44,DD,54,4F,00,00,7B,
326662,0000033B,false,Rx,0,8,00,00,00,5B,00,00,00,00,
326915,0000033D,false,Rx,0,8,00,00,10,20,00,18,00,00,
327169,000003A2,false,Rx,0,8,21,60,10,74,03,FF,00,D9,
327415,000003A4,false,Rx,0,8,00,00,07,00,02,00,00,00,
327660,000003B7,false,Rx,0,8,00,00,00,00,00,06,AC,40,
327907,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
334707,0000019C,false,Rx,0,8,06,A0,26,00,00,00,00,7F,
334954,000001F1,false,Rx,0,8,0E,00,00,00,00,00,20,00,
335208,00000297,false,Rx,0,8,00,03,00,00,00,00,20,00,
335453,000002A6,false,Rx,0,8,01,00,00,00,00,00,00,00,
335700,0000033F,false,Rx,0,8,00,00,00,00,28,00,00,48,
426391,0000039F,false,Rx,0,8,4A,71,00,00,04,89,0E,B8,
