Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
67554,0000039F,false,Rx,0,8,41,71,00,00,04,7D,03,4A,
67799,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
68041,00000324,false,Rx,0,8,70,46,37,45,45,00,00,7B,
68286,0000033B,false,Rx,0,8,80,00,00,4A,00,00,00,00,
68537,0000033D,false,Rx,0,8,02,6E,60,20,00,18,00,40,
68781,000003A2,false,Rx,0,8,21,67,10,4C,03,FF,00,E6,
69024,000003A4,false,Rx,0,8,00,00,08,00,05,00,00,00,
69276,000003B7,false,Rx,0,8,00,00,00,00,00,03,D0,41,
69518,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
167483,0000039F,false,Rx,0,8,41,71,00,00,04,7D,04,4D,
167729,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
167972,00000324,false,Rx,0,8,70,46,31,45,45,00,00,7B,
168217,0000033B,false,Rx,0,8,80,00,00,4A,00,00,00,00,
168466,0000033D,false,Rx,0,8,02,6E,60,20,00,18,00,40,
168710,000003A2,false,Rx,0,8,21,67,10,50,03,FF,00,FA,
168953,000003A4,false,Rx,0,8,00,00,08,00,05,00,00,00,
169198,000003B7,false,Rx,0,8,00,00,00,00,00,04,29,41,
169448,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
273345,0000039F,false,Rx,0,8,41,71,00,00,04,7D,05,4C,
273590,00000323,false,Rx,0,8,00,00,00,00,00,00,D7,63,
273832,00000324,false,Rx,0,8,70,46,37,45,45,00,00,7B,
274076,0000033B,false,Rx,0,8,80,00,00,4A,00,00,00,00,
274324,0000033D,false,Rx,0,8,02,6E,60,20,00,18,00,40,
274567,000003A2,false,Rx,0,8,21,67,10,54,03,FF,00,FE,
274810,000003A4,false,Rx,0,8,00,00,08,00,05,00,00,00,
275054,000003B7,false,Rx,0,8,00,00,00,00,00,05,65,41,
275306,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
373456,0000039F,false,Rx,0,8,41,71,00,00,04,7D,06,4F,
373501,00000323,false,Rx,0,8,00,00,00,00,00,00,C1,51,
373756,00000324,false,Rx,0,8,70,46,37,45,45,00,00,7B,
374010,0000033B,false,Rx,0,8,80,00,00,4A,00,00,00,00,
374273,0000033D,false,Rx,0,8,02,6E,60,20,00,18,00,40,
374529,000003A2,false,Rx,0,8,21,67,10,58,03,FF,00,F2,
374783,000003A4,false,Rx,0,8,00,00,08,00,05,00,00,00,
375026,000003B7,false,Rx,0,8,00,00,00,00,00,06,B1,41,
375304,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
473957,0000039F,false,Rx,0,8,41,71,00,00,04,7D,07,4E,
474268,00000323,false,Rx,0,8,00,00,00,00,00,00,C1,51,
474278,00000324,false,Rx,0,8,70,46,31,45,45,00,00,7B,
474516,0000033B,false,Rx,0,8,80,00,00,4A,00,00,00,00,
474759,0000033D,false,Rx,0,8,02,6E,60,20,00,18,00,40,
475002,000003A2,false,Rx,0,8,21,67,10,5C,03,FF,00,F6,
475255,000003A4,false,Rx,0,8,00,00,08,00,05,00,00,00,
475497,000003B7,false,Rx,0,8,00,00,00,00,00,07,FD,41,
475742,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
574111,0000039F,false,Rx,0,8,41,71,00,00,04,7D,08,41,
574362,00000323,false,Rx,0,8,00,00,00,00,00,00,C1,51,
574613,00000324,false,Rx,0,8,70,46,37,45,45,00,00,7B,
574878,0000033B,false,Rx,0,8,80,00,00,4A,00,00,00,00,
575160,0000033D,false,Rx,0,8,02,6E,60,20,00,18,00,40,
575170,000003A2,false,Rx,0,8,21,67,10,60,03,FF,00,CA,
575417,000003A4,false,Rx,0,8,00,00,08,00,05,00,00,00,
575660,000003B7,false,Rx,0,8,00,00,00,00,00,08,5E,41,
575903,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
674344,0000039F,false,Rx,0,8,41,71,00,00,04,7D,09,40,
674588,00000323,false,Rx,0,8,00,00,00,00,00,00,C1,51,
674831,00000324,false,Rx,0,8,70,46,37,45,45,00,00,7B,
675074,0000033B,false,Rx,0,8,80,00,00,4A,00,00,00,00,
675324,0000033D,false,Rx,0,8,02,6E,60,20,00,18,00,40,
675566,000003A2,false,Rx,0,8,21,67,10,64,03,FF,00,CE,
675808,000003A4,false,Rx,0,8,00,00,08,00,05,00,00,00,
676052,000003B7,false,Rx,0,8,00,00,00,00,00,09,12,41,
676308,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
774845,0000039F,false,Rx,0,8,41,71,00,00,04,7D,0A,43,
775091,00000323,false,Rx,0,8,00,00,00,00,00,00,C1,51,
775340,00000324,false,Rx,0,8,70,46,3B,45,45,00,00,7B,
775583,0000033B,false,Rx,0,8,80,00,00,4A,00,00,00,00,
775824,0000033D,false,Rx,0,8,02,6E,60,20,00,18,00,40,
776068,000003A2,false,Rx,0,8,21,67,10,68,03,FF,00,C2,
776322,000003A4,false,Rx,0,8,00,00,08,00,05,00,00,00,
776565,000003B7,false,Rx,0,8,00,00,00,00,00,0A,C6,41,
776808,00000491,false,Rx,0,8,00,00,00,00,00,00,00,00,
