Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1693295655623956,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295655614186,000003BA,false,Rx,0,8,2E,2E,41,41,41,41,00,00,
-1693295655604032,000003BC,false,Rx,0,8,2E,2E,00,00,00,00,00,00,
-1693295655594177,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295655584065,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295655524122,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295655514267,000003BA,false,Rx,0,8,2E,2E,41,41,41,41,00,00,
-1693295655504198,000003BC,false,Rx,0,8,2E,2E,00,00,00,00,00,00,
-1693295655494300,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295655484274,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295655424331,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295655414433,000003BA,false,Rx,0,8,2E,2E,41,41,41,41,00,00,
-1693295655403981,000003BC,false,Rx,0,8,2E,2E,00,00,00,00,00,00,
-1693295655394381,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295655384483,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295655324417,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295655314604,000003BA,false,Rx,0,8,2E,2E,41,41,41,41,00,00,
-1693295655304706,000003BC,false,Rx,0,8,2E,2E,00,00,00,00,00,00,
-1693295655294680,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295655284526,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295655224583,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295655214728,000003BA,false,Rx,0,8,2E,2E,41,41,41,41,00,00,
-1693295655204830,000003BC,false,Rx,0,8,2E,2E,00,00,00,00,00,00,
-1693295655194804,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
