Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1693295647031315,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295647021417,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295647011434,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295647001493,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295646991382,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295646931439,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295646921285,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295646911557,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295646901659,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295646891548,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295646831605,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295646821238,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295646811723,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295646801825,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295646791714,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295646731728,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295646721190,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295646711847,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295646701949,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295646691838,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295646631852,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295646621997,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295646611971,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295646601902,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295646591961,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295646532018,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295646522163,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295646512179,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
-1693295646501897,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295646492170,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295646432227,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295646422329,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295646412346,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
-1693295646401850,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295646392336,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295646332393,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295646322495,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295646312512,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
-1693295646301846,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295646292503,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295646232517,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295646222662,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295646212636,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295646202567,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295646192626,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295646132043,000003B8,false,Rx,0,8,64,00,00,00,00,00,38,12,
-1693295646122785,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295646112674,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
