Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1693295589974137,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295589964239,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295589954256,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
-1693295589944315,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295589934203,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295589874261,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295589864106,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295589854379,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295589844481,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295589834370,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295589774427,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295589764059,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295589754545,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295589744647,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295589734536,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295589674550,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295589664012,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295589654669,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
-1693295589644771,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295589634659,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295589574717,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295589564819,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295589554835,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295589544724,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295589534783,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295589474883,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295589464985,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295589455001,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295589444719,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295589434992,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295589375049,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295589365194,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295589355168,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295589344672,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295589335158,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295589275215,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295589265360,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295589255334,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295589244668,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295589235324,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295589175339,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295589165483,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295589155500,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
-1693295589145389,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295589135448,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295589074950,000003B8,false,Rx,0,8,64,00,00,00,00,00,38,12,
-1693295589065394,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295589055453,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295589045397,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295589035499,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295588975428,000003B8,false,Rx,0,8,00,00,00,00,00,00,38,12,
-1693295588965487,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295588955632,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295588945265,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295588935665,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295588875680,000003B8,false,Rx,0,8,00,00,00,00,00,00,38,12,
-1693295588865270,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295588855670,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
-1693295588845729,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295588835703,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295588775803,000003B8,false,Rx,0,8,00,00,01,00,00,00,38,12,
-1693295588765777,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295588755836,000003BC,false,Rx,0,8,7E,7E,14,82,00,3C,00,00,
-1693295588745810,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295588735571,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295588675756,000003B8,false,Rx,0,8,00,00,01,00,00,00,38,12,
-1693295588665943,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295588655875,000003BC,false,Rx,0,8,7E,7E,14,82,00,3C,00,00,
-1693295588645891,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295588635823,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295588575837,000003B8,false,Rx,0,8,00,00,01,00,00,00,38,12,
-1693295588566067,000003BA,false,Rx,0,8,7E,7E,2D,25,2F,31,00,00,
-1693295588555913,000003BC,false,Rx,0,8,7E,7E,14,82,00,3C,00,00,
-1693295588545418,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295588536031,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295588476089,000003B8,false,Rx,0,8,00,00,01,00,00,00,38,12,
-1693295588466063,000003BA,false,Rx,0,8,7E,7E,2D,25,2F,31,00,00,
-1693295588456164,000003BC,false,Rx,0,8,7E,7E,14,82,00,3C,00,00,
-1693295588445968,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
