Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1693295655175277,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295655165379,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295655155395,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295655145497,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295655135386,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295655075443,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295655065289,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295655055562,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295655045664,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295655035552,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295654975567,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295654965242,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295654955728,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295654945830,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295654935676,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295654875733,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295654865195,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295654855851,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295654845911,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295654835799,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295654775856,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295654765958,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295654755975,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295654745864,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295654735966,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295654676023,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295654666167,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295654656184,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295654645859,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295654636174,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295654576189,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295654566333,000003BA,false,Rx,0,8,7E,7E,41,41,41,41,00,00,
-1693295654556350,000003BC,false,Rx,0,8,7E,7E,00,00,00,00,00,00,
-1693295654545855,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295654536341,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295654476355,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295654466500,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295654456516,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
