Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1693295655462795,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295655452641,000003BA,false,Rx,0,8,2E,2E,41,41,41,41,00,00,
-1693295655442913,000003BC,false,Rx,0,8,2E,2E,00,00,00,00,00,00,
-1693295655432802,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295655422819,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295655362918,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295655352935,000003BA,false,Rx,0,8,2E,2E,41,41,41,41,00,00,
-1693295655342952,000003BC,false,Rx,0,8,2E,2E,00,00,00,00,00,00,
-1693295655333054,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295655322900,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295655262829,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295655252973,000003BA,false,Rx,0,8,2E,2E,41,41,41,41,00,00,
-1693295655243246,000003BC,false,Rx,0,8,2E,2E,00,00,00,00,00,00,
-1693295655233092,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295655222853,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295655163123,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295655153396,000003BA,false,Rx,0,8,2E,2E,41,41,41,41,00,00,
-1693295655143199,000003BC,false,Rx,0,8,2E,2E,00,00,00,00,00,00,
-1693295655133343,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295655123147,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295655063204,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295655053178,000003BA,false,Rx,0,8,2E,2E,41,41,41,41,00,00,
-1693295655043450,000003BC,false,Rx,0,8,2E,2E,00,00,00,00,00,00,
-1693295655033339,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295655023484,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295654962943,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295654953472,000003BA,false,Rx,0,8,2E,2E,41,41,41,41,00,00,
-1693295654943361,000003BC,false,Rx,0,8,2E,2E,00,00,00,00,00,00,
-1693295654933463,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295654922980,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295654863506,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295654853523,000003BA,false,Rx,0,8,2E,2E,41,41,41,41,00,00,
-1693295654843369,000003BC,false,Rx,0,8,2E,2E,00,00,00,00,00,00,
-1693295654833514,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295654823743,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295654763417,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295654753647,000003BA,false,Rx,0,8,2E,2E,41,41,41,41,00,00,
-1693295654743663,000003BC,false,Rx,0,8,2E,2E,00,00,00,00,00,00,
