Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1691483329711425,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1691483329701697,000003BA,false,Rx,0,8,01,01,41,41,41,41,00,00,
-1691483329691842,000003BC,false,Rx,0,8,01,01,00,00,00,00,00,00,
-1691483329681731,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1691483329671705,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1691483329611335,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1691483329601949,000003BA,false,Rx,0,8,01,01,41,41,41,41,00,00,
-1691483329591966,000003BC,false,Rx,0,8,01,01,00,00,00,00,00,00,
-1691483329581684,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1691483329571999,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1691483329511898,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1691483329501957,000003BA,false,Rx,0,8,01,01,41,41,41,41,00,00,
-1691483329492016,000003BC,false,Rx,0,8,01,01,00,00,00,00,00,00,
-1691483329481521,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1691483329472050,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1691483329412149,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1691483329402251,000003BA,false,Rx,0,8,01,01,41,41,41,41,00,00,
-1691483329392268,000003BC,false,Rx,0,8,01,01,00,00,00,00,00,00,
-1691483329382285,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1691483329372131,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1691483329312230,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1691483329302290,000003BA,false,Rx,0,8,01,01,41,41,41,41,00,00,
-1691483329292349,000003BC,false,Rx,0,8,01,01,00,00,00,00,00,00,
-1691483329282366,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1691483329272382,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1691483329212439,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1691483329202541,000003BA,false,Rx,0,8,01,01,41,41,41,41,00,00,
-1691483329192174,000003BC,false,Rx,0,8,01,01,00,00,00,00,00,00,
