Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1693295655099027,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295655089129,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295655079145,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
-1693295655069247,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295655059136,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295654999193,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295654989039,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295654979311,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
-1693295654969413,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295654959302,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295654899286,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295654888919,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295654879448,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
-1693295654869507,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295654859396,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295654799410,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295654788872,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295654779571,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
-1693295654769631,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295654759519,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295654699576,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295654689678,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295654679695,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
-1693295654669583,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295654659685,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295654599743,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295654589887,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295654579861,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
-1693295654569579,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
-1693295654559852,000003BE,false,Rx,0,8,00,00,00,81,00,00,00,00,
-1693295654499951,000003B8,false,Rx,0,8,64,00,00,00,00,00,00,12,
-1693295654490053,000003BA,false,Rx,0,8,7E,7F,41,41,41,41,00,00,
-1693295654480070,000003BC,false,Rx,0,8,7E,7F,00,00,00,00,00,00,
-1693295654469575,000003BD,false,Rx,0,8,14,04,0D,00,00,00,00,00,
